# Time-averaged data for fix fixflux1
# TimeStep v_tempt1v v_tempt2v f_fix1 f_fix2 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
10000 243.796 191.184 -46.7248 -34.0588 -6.76111e-10 -7.77112e-10 -2.62782e-09 1.01857e-10 1.50964e-09 -7.736e-10 -5.39575e-10 -4.86101e-10
20000 241.185 194.084 -57.6195 -52.9826 -8.44216e-09 -2.0493e-09 -1.76057e-09 -2.66915e-09 -5.06794e-09 -1.229e-09 -1.13157e-09 -1.09307e-09
30000 242.329 197.952 -61.9579 -30.1453 -1.13563e-09 1.70359e-09 1.60243e-09 -1.12985e-09 2.04258e-10 1.37905e-09 1.23241e-09 1.2255e-09
40000 240.452 195.515 -64.6995 -46.8831 -1.88248e-09 6.12817e-10 2.26043e-10 -8.37639e-10 -1.10785e-09 1.03882e-11 1.95841e-10 1.96415e-10
50000 244.542 190.862 -72.7489 -41.7437 6.82099e-09 7.89192e-10 3.21273e-10 2.73424e-09 1.99045e-09 2.87135e-11 -1.77654e-10 -2.26957e-10
60000 239.711 200.933 -53.0668 -56.446 4.76307e-09 2.07923e-09 1.87999e-09 3.30246e-09 3.32494e-09 1.67203e-09 1.80774e-09 1.86066e-09
70000 234.366 191.481 -60.3834 -45.8949 -3.33715e-10 5.46762e-11 -1.57611e-09 9.99383e-11 -7.70523e-10 -6.01376e-10 -6.27638e-10 -6.17464e-10
80000 235.063 193.141 -56.159 -55.1076 6.13849e-09 -2.33208e-09 -2.17618e-09 6.84569e-09 5.52901e-10 -1.60386e-09 -1.30554e-09 -1.23151e-09
90000 243.294 193.879 -60.653 -36.4994 2.94983e-09 1.17052e-09 1.66541e-09 1.57778e-09 -6.09445e-11 5.72958e-10 5.83599e-10 5.11896e-10
100000 235.319 193.311 -87.8501 -35.7136 -1.65408e-09 9.1351e-10 1.92784e-09 -1.83614e-09 -1.40512e-09 5.10121e-10 4.41073e-10 4.41074e-10
110000 232.705 196.123 -56.7235 -44.8953 2.88628e-10 -2.26117e-09 -2.11861e-09 1.28094e-09 4.43589e-10 -1.01466e-09 -9.937e-10 -9.90448e-10
120000 240.764 191.535 -72.9611 -33.7728 1.10469e-09 -6.89489e-10 -1.52173e-09 1.65029e-09 5.43591e-10 -2.89549e-10 -3.51882e-10 -3.52692e-10
130000 233.728 194.866 -75.2506 -32.1928 1.18875e-09 2.30506e-09 3.11256e-09 -1.53486e-09 1.67523e-09 1.44738e-09 1.45491e-09 1.4543e-09
140000 242.818 194.589 -68.2175 -36.1096 -1.08694e-09 -1.2265e-09 -2.93084e-09 1.19022e-09 -1.09738e-09 -1.0571e-09 -1.0753e-09 -1.02199e-09
150000 240.379 190.379 -55.1136 -50.8372 6.92474e-09 -1.03707e-09 5.37541e-11 3.59504e-09 3.16585e-09 -4.72981e-10 -4.33643e-10 -4.10758e-10
160000 238.121 193.198 -65.4419 -48.6071 -5.90117e-09 -5.16996e-10 -4.3637e-10 -3.61616e-09 -1.97503e-09 -4.54611e-10 -3.29404e-10 -2.8548e-10
