NP materials,Core Diameter (nm),salt concentration (M),ligand type*,PAH chains*,Citrate number*,Ligand number*,charge density (e/nm^2),R_H (nm),zeta (mV)
AuNP,4,0.001,PAH,1,90,200,-1.4,8.95,-16.98085182
AuNP,4,0.001,PAH,1,90,200,-1.4,3,-102.9238445
AuNP,4,0.001,PAH,1,90,200,-1.4,6,-33.00653066
AuNP,4,0.001,PAH,1,90,200,-1.4,9,-16.80921424
AuNP,4,0.001,PAH,1,90,200,-1.4,12,-9.342711572
AuNP,4,0.001,PAH,1,90,200,-1.4,15,-5.304954281
AuNP,4,0.001,PAH,1,90,200,-1.4,18,-3.013349688
AuNP,4,0.001,PAH,1,90,200,-1.4,21,-1.781066247
AuNP,4,0.001,PAH,1,90,200,-1.4,24,-1.075399832
AuNP,4,0.001,PAH,1,90,200,-1.4,27,-0.591471872
AuNP,4,0.001,PAH,1,90,200,-1.4,30,-0.166654222
AuNP,4,0.001,PAH,1,90,200,-1.4,33,0.241592591
AuNP,4,0.001,PAH,1,90,200,-1.4,36,0.404199815
AuNP,4,0.001,PAH,1,90,200,-1.4,39,0.474007547
AuNP,4,0.001,PAH,1,90,200,-1.4,42,0.490476155
AuNP,4,0.001,PAH,1,90,200,-1.4,45,0.395298955
AuNP,4,0.001,PAH,1,90,200,-1.4,48,0.213034721
AuNP,4,0.001,PAH,2,90,400,2.6,8.95,26.51678257
AuNP,4,0.001,PAH,2,90,400,2.6,3,177.7290561
AuNP,4,0.001,PAH,2,90,400,2.6,6,53.70494451
AuNP,4,0.001,PAH,2,90,400,2.6,9,26.24987366
AuNP,4,0.001,PAH,2,90,400,2.6,12,15.21350583
AuNP,4,0.001,PAH,2,90,400,2.6,15,9.745321618
AuNP,4,0.001,PAH,2,90,400,2.6,18,6.866277439
AuNP,4,0.001,PAH,2,90,400,2.6,21,5.295247962
AuNP,4,0.001,PAH,2,90,400,2.6,24,4.167636281
AuNP,4,0.001,PAH,2,90,400,2.6,27,3.366737793
AuNP,4,0.001,PAH,2,90,400,2.6,30,2.78072284
AuNP,4,0.001,PAH,2,90,400,2.6,33,2.431008815
AuNP,4,0.001,PAH,2,90,400,2.6,36,2.067675217
AuNP,4,0.001,PAH,2,90,400,2.6,39,1.667629199
AuNP,4,0.001,PAH,2,90,400,2.6,42,1.262839195
AuNP,4,0.001,PAH,2,90,400,2.6,45,0.831355382
AuNP,4,0.001,PAH,2,90,400,2.6,48,0.498430227
AuNP,4,0.001,PAH,3,90,600,6.6,8.95,33.96117015
AuNP,4,0.001,PAH,3,90,600,6.6,3,264.0124061
AuNP,4,0.001,PAH,3,90,600,6.6,6,68.07887269
AuNP,4,0.001,PAH,3,90,600,6.6,9,33.61834045
AuNP,4,0.001,PAH,3,90,600,6.6,12,19.41291537
AuNP,4,0.001,PAH,3,90,600,6.6,15,12.33422505
AuNP,4,0.001,PAH,3,90,600,6.6,18,8.67050806
AuNP,4,0.001,PAH,3,90,600,6.6,21,6.528312565
AuNP,4,0.001,PAH,3,90,600,6.6,24,5.038911279
AuNP,4,0.001,PAH,3,90,600,6.6,27,3.81227686
AuNP,4,0.001,PAH,3,90,600,6.6,30,2.661445316
AuNP,4,0.001,PAH,3,90,600,6.6,33,1.704019978
AuNP,4,0.001,PAH,3,90,600,6.6,36,0.961743177
AuNP,4,0.001,PAH,3,90,600,6.6,39,0.351354006
AuNP,4,0.001,PAH,3,90,600,6.6,42,-0.045988665
AuNP,4,0.001,PAH,3,90,600,6.6,45,-0.263465946
AuNP,4,0.001,PAH,3,90,600,6.6,48,-0.393146763
AuNP,4,0.001,PAH,4,90,800,10.5,15.5,11.29984532
AuNP,4,0.001,PAH,4,90,800,10.5,3,276.6449738
AuNP,4,0.001,PAH,4,90,800,10.5,6,89.29080207
AuNP,4,0.001,PAH,4,90,800,10.5,9,40.52728187
AuNP,4,0.001,PAH,4,90,800,10.5,12,21.48490907
AuNP,4,0.001,PAH,4,90,800,10.5,15,12.31620938
